,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
293,RUT:Line:375,RUT:Authority:RUT,375,Strømmen - Olavsgaard - Oslo bussterminal,,704,,76a300,ffffff
294,RUT:Line:3904,RUT:Authority:RUT,4N,Jernbanetorget - Bergkrystallen T,,705,,e60000,ffffff
295,RUT:Line:3811,RUT:Authority:RUT,B11,Lysaker - Nesoddtangen,,1008,,682c88,ffffff
296,RUT:Line:3743,RUT:Authority:RUT,3743,Eidsvoll - Finstad - Dal  - Råholt,,712,,76a300,ffffff
297,RUT:Line:3902,RUT:Authority:RUT,2N,Østerås T - Ellingsrudåsen,,705,,e60000,ffffff
298,RUT:Line:3932,RUT:Authority:RUT,32N,Voksen skog - Kværnerbyen,,705,,e60000,ffffff
299,RUT:Line:3930,RUT:Authority:RUT,30N,Jernbanetorget - Bygdøy,,705,,e60000,ffffff
300,RUT:Line:3918,RUT:Authority:RUT,18N,Kringsjå - Åsbråten,,705,,e60000,ffffff
301,RUT:Line:3912,RUT:Authority:RUT,12N,Majorstuen - Kjelsås,,705,,e60000,ffffff
302,RUT:Line:3911,RUT:Authority:RUT,11N,Majorstuen - Kjelsås,,705,,e60000,ffffff
303,RUT:Line:3901,RUT:Authority:RUT,1N,Jernbanetorget - Ullerntoppen,,705,,e60000,ffffff
304,RUT:Line:3838,RUT:Authority:RUT,3838,Nannestad - Engelstad - Grasmo,,712,,76a300,ffffff
305,RUT:Line:3821,RUT:Authority:RUT,B21,Son - Aker brygge,,1008,,682c88,ffffff
306,RUT:Line:3,RUT:Authority:RUT,3,Kolsås - Mortensrud,,401,,ec700c,ffffff
307,RUT:Line:3983,RUT:Authority:RUT,83N,Nationaltheatret - Fløysbonn,,705,,e60000,ffffff
308,RUT:Line:3981,RUT:Authority:RUT,81N,Nationaltheatret - Ski,,705,,e60000,ffffff
309,RUT:Line:397,RUT:Authority:RUT,397,Nittedal stasjon - Kruttverket - Dam,,704,,76a300,ffffff
310,RUT:Line:3970,RUT:Authority:RUT,70N,Jernbanetorget - Bjørndal,,705,,e60000,ffffff
311,RUT:Line:396,RUT:Authority:RUT,396,Slattum - Holum skog - Skillebekk,,704,,76a300,ffffff
312,RUT:Line:3963,RUT:Authority:RUT,63N,Romsås ring,,705,,e60000,ffffff
313,RUT:Line:395,RUT:Authority:RUT,395,Nittedal stasjon - Dam - Holum skog - Skillebekk,,704,,76a300,ffffff
314,RUT:Line:425,RUT:Authority:RUT,425,Kløfta – Oslo lufthavn,,704,,76a300,ffffff
